id,titulo,anio,calificacion,duracion,metascore,url,actores
3864,The Lord of the Rings: The Fellowship of the Ring,2001,9,178.0,92.0,https://www.imdb.com/title/tt0120737/,"Elijah Wood, Ian McKellen, Orlando Bloom"
3865,Schindler&apos;s List,1994,9,195.0,95.0,https://www.imdb.com/title/tt0108052/,"Liam Neeson, Ralph Fiennes, Ben Kingsley"
3866,"Il buono, il brutto, il cattivo",1967,9,178.0,90.0,https://www.imdb.com/title/tt0060196/,"Clint Eastwood, Eli Wallach, Lee Van Cleef"
3867,The Lord of the Rings: The Two Towers,2002,9,179.0,87.0,https://www.imdb.com/title/tt0167261/,"Elijah Wood, Ian McKellen, Viggo Mortensen"
3868,The Godfather,1972,9,175.0,100.0,https://www.imdb.com/title/tt0068646/,"Marlon Brando, Al Pacino, James Caan"
3869,Pulp Fiction,1994,9,154.0,95.0,https://www.imdb.com/title/tt0110912/,"John Travolta, Uma Thurman, Samuel L. Jackson"
3870,The Shawshank Redemption,1994,9,142.0,82.0,https://www.imdb.com/title/tt0111161/,"Tim Robbins, Morgan Freeman, Bob Gunton"
3871,The Godfather Part II,1974,9,202.0,90.0,https://www.imdb.com/title/tt0071562/,"Al Pacino, Robert De Niro, Robert Duvall"
3872,The Dark Knight,2008,9,152.0,85.0,https://www.imdb.com/title/tt0468569/,"Christian Bale, Heath Ledger, Aaron Eckhart"
3873,Forrest Gump,1994,9,142.0,82.0,https://www.imdb.com/title/tt0109830/,"Tom Hanks, Robin Wright, Gary Sinise"
3874,12 Angry Men,1957,9,96.0,97.0,https://www.imdb.com/title/tt0050083/,"Henry Fonda, Lee J. Cobb, Martin Balsam"
3875,The Lord of the Rings: The Return of the King,2003,9,201.0,94.0,https://www.imdb.com/title/tt0167260/,"Elijah Wood, Ian McKellen, Viggo Mortensen"
3876,One Flew Over the Cuckoo&apos;s Nest,1975,9,133.0,84.0,https://www.imdb.com/title/tt0073486/,"Jack Nicholson, Louise Fletcher, Michael Berryman"
3877,Shichinin no samurai,1956,9,207.0,98.0,https://www.imdb.com/title/tt0047478/,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima"
3878,The Matrix,1999,9,136.0,73.0,https://www.imdb.com/title/tt0133093/,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
3879,The Silence of the Lambs,1991,9,118.0,86.0,https://www.imdb.com/title/tt0102926/,"Jodie Foster, Anthony Hopkins, Scott Glenn"
3880,Fight Club,1999,9,139.0,67.0,https://www.imdb.com/title/tt0137523/,"Brad Pitt, Edward Norton, Meat Loaf"
3881,Interstellar,2014,9,169.0,74.0,https://www.imdb.com/title/tt0816692/,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
3882,Se7en,1995,9,127.0,65.0,https://www.imdb.com/title/tt0114369/,"Morgan Freeman, Brad Pitt, Kevin Spacey"
3883,It&apos;s a Wonderful Life,1947,9,130.0,89.0,https://www.imdb.com/title/tt0038650/,"James Stewart, Donna Reed, Lionel Barrymore"
3884,Star Wars: Episode V - The Empire Strikes Back,1980,9,124.0,82.0,https://www.imdb.com/title/tt0080684/,"Mark Hamill, Harrison Ford, Carrie Fisher"
3885,Inception,2010,9,148.0,74.0,https://www.imdb.com/title/tt1375666/,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
3886,GoodFellas,1990,9,145.0,92.0,https://www.imdb.com/title/tt0099685/,"Robert De Niro, Ray Liotta, Joe Pesci"
3887,Saving Private Ryan,1998,9,169.0,91.0,https://www.imdb.com/title/tt0120815/,"Tom Hanks, Matt Damon, Tom Sizemore"
3888,The Green Mile,1999,9,189.0,61.0,https://www.imdb.com/title/tt0120689/,"Tom Hanks, Michael Clarke Duncan, David Morse"
3889,Back to the Future,1985,8,116.0,87.0,https://www.imdb.com/title/tt0088763/,"Michael J. Fox, Christopher Lloyd, Lea Thompson"
3890,La vita è bella,1997,9,116.0,58.0,https://www.imdb.com/title/tt0118799/,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini"
3891,Cidade de Deus,2004,9,130.0,79.0,https://www.imdb.com/title/tt0317248/,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele"
3892,Star Wars,1977,9,121.0,90.0,https://www.imdb.com/title/tt0076759/,"Mark Hamill, Harrison Ford, Carrie Fisher"
3893,The Lion King,1994,8,88.0,88.0,https://www.imdb.com/title/tt0110357/,"Matthew Broderick, Jeremy Irons, James Earl Jones"
3894,The Pianist,2003,8,150.0,85.0,https://www.imdb.com/title/tt0253474/,"Adrien Brody, Thomas Kretschmann, Frank Finlay"
3895,Psycho,1960,8,109.0,97.0,https://www.imdb.com/title/tt0054215/,"Anthony Perkins, Janet Leigh, Vera Miles"
3896,Gisaengchung,2019,8,132.0,97.0,https://www.imdb.com/title/tt6751668/,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong"
3897,Gladiator,2000,8,155.0,67.0,https://www.imdb.com/title/tt0172495/,"Russell Crowe, Joaquin Phoenix, Connie Nielsen"
3898,Terminator 2: Judgment Day,1991,9,137.0,75.0,https://www.imdb.com/title/tt0103064/,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong"
3899,Sen to Chihiro no kamikakushi,2003,9,124.0,96.0,https://www.imdb.com/title/tt0245429/,"Daveigh Chase, Suzanne Pleshette, Miyu Irino"
3900,Hotaru no haka,1989,8,88.0,94.0,https://www.imdb.com/title/tt0095327/,
3901,Seppuku,1964,9,133.0,85.0,https://www.imdb.com/title/tt0056058/,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita"
3902,Léon,1994,8,110.0,64.0,https://www.imdb.com/title/tt0110413/,"Jean Reno, Gary Oldman, Natalie Portman"
3903,Nuovo Cinema Paradiso,1990,8,174.0,80.0,https://www.imdb.com/title/tt0095765/,"Philippe Noiret, Enzo Cannavale, Antonella Attili"
3904,Whiplash,2014,8,106.0,89.0,https://www.imdb.com/title/tt2582802/,"Miles Teller, J.K. Simmons, Melissa Benoist"
3905,American History X,1998,8,119.0,62.0,https://www.imdb.com/title/tt0120586/,"Edward Norton, Edward Furlong, Beverly D&apos;Angelo"
3906,Spider-Man: Across the Spider-Verse,2023,8,140.0,86.0,https://www.imdb.com/title/tt9362722/,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry"
3907,Alien,1979,8,117.0,89.0,https://www.imdb.com/title/tt0078748/,"Sigourney Weaver, Tom Skerritt, John Hurt"
3908,Intouchables,2011,8,112.0,57.0,https://www.imdb.com/title/tt1675434/,"François Cluzet, Omar Sy, Anne Le Ny"
3909,The Usual Suspects,1995,8,106.0,76.0,https://www.imdb.com/title/tt0114814/,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri"
3910,Modern Times,1936,8,87.0,96.0,https://www.imdb.com/title/tt0027977/,"Charles Chaplin, Paulette Goddard, Henry Bergman"
3911,The Prestige,2006,8,130.0,66.0,https://www.imdb.com/title/tt0482571/,"Christian Bale, Hugh Jackman, Scarlett Johansson"
3912,The Departed,2006,8,151.0,85.0,https://www.imdb.com/title/tt0407887/,"Jack Nicholson, Leonardo DiCaprio, Matt Damon"
3913,Casablanca,1943,8,102.0,100.0,https://www.imdb.com/title/tt0034583/,"Humphrey Bogart, Ingrid Bergman, Paul Henreid"
3914,Dune: Part Two,2024,8,166.0,79.0,https://www.imdb.com/title/tt15239678/,"Timothée Chalamet, Zendaya, Rebecca Ferguson"
3915,Raiders of the Lost Ark,1981,8,115.0,86.0,https://www.imdb.com/title/tt0082971/,"Harrison Ford, Karen Allen, Paul Freeman"
3916,Avengers: Infinity War,2018,8,149.0,68.0,https://www.imdb.com/title/tt4154756/,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
3917,Rear Window,1954,8,112.0,100.0,https://www.imdb.com/title/tt0047396/,"James Stewart, Grace Kelly, Wendell Corey"
3918,Spider-Man: Into the Spider-Verse,2018,8,117.0,87.0,https://www.imdb.com/title/tt4633694/,"Shameik Moore, Hailee Steinfeld, Jake Johnson"
3919,Apocalypse Now,1979,8,147.0,94.0,https://www.imdb.com/title/tt0078788/,"Marlon Brando, Robert Duvall, Martin Sheen"
3920,Das Leben der Anderen,2007,8,137.0,89.0,https://www.imdb.com/title/tt0405094/,"Ulrich Mühe, Martina Gedeck, Sebastian Koch"
3921,C&apos;era una volta il West,1969,8,166.0,82.0,https://www.imdb.com/title/tt0064116/,"Henry Fonda, Charles Bronson, Claudia Cardinale"
3922,Memento,2001,8,113.0,83.0,https://www.imdb.com/title/tt0209144/,"Carrie-Anne Moss, Guy Pearce, Joe Pantoliano"
3923,WALL·E,2008,8,98.0,95.0,https://www.imdb.com/title/tt0910970/,"Ben Burtt, Elissa Knight, Jeff Garlin"
3924,City Lights,1931,8,87.0,99.0,https://www.imdb.com/title/tt0021749/,"Charles Chaplin, Virginia Cherrill, Florence Lee"
3925,Django Unchained,2012,8,165.0,81.0,https://www.imdb.com/title/tt1853728/,"Leonardo DiCaprio, Jamie Foxx, Christoph Waltz"
3926,Sunset Blvd.,1950,8,110.0,94.0,https://www.imdb.com/title/tt0043014/,"William Holden, Gloria Swanson, Erich von Stroheim"
3927,The Shining,1980,8,146.0,68.0,https://www.imdb.com/title/tt0081505/,"Jack Nicholson, Shelley Duvall, Danny Lloyd"
3928,Coco,2017,8,105.0,81.0,https://www.imdb.com/title/tt2380307/,Anthony Gonzalez
3929,The Dark Knight Rises,2012,8,164.0,78.0,https://www.imdb.com/title/tt1345836/,
3930,Witness for the Prosecution,1958,8,116.0,76.0,https://www.imdb.com/title/tt0051201/,
3931,12th Fail,2023,9,147.0,,https://www.imdb.com/title/tt23849204/,
3932,Paths of Glory,1957,8,88.0,90.0,https://www.imdb.com/title/tt0050825/,
3933,The Great Dictator,1941,8,125.0,,https://www.imdb.com/title/tt0032553/,
3934,Amadeus,1984,8,160.0,87.0,https://www.imdb.com/title/tt0086879/,
3935,Das Boot,1982,8,149.0,85.0,https://www.imdb.com/title/tt0082096/,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann"
3936,Aliens,1986,8,137.0,84.0,https://www.imdb.com/title/tt0090605/,"Sigourney Weaver, Michael Biehn, Carrie Henn"
3937,Braveheart,1995,8,178.0,68.0,https://www.imdb.com/title/tt0112573/,"Mel Gibson, Sophie Marceau, Patrick McGoohan"
3938,Inglourious Basterds,2009,8,153.0,69.0,https://www.imdb.com/title/tt0361748/,"Brad Pitt, Diane Kruger, Eli Roth"
3939,American Beauty,1999,8,122.0,84.0,https://www.imdb.com/title/tt0169547/,"Kevin Spacey, Annette Bening, Thora Birch"
3940,Tengoku to jigoku,1963,8,143.0,90.0,https://www.imdb.com/title/tt0057565/,"Toshirô Mifune, Tatsuya Nakadai, Yutaka Sada"
3941,Oldeuboi,2003,8,120.0,78.0,https://www.imdb.com/title/tt0364569/,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong"
3942,Mononoke-hime,1997,8,133.0,78.0,https://www.imdb.com/title/tt0119698/,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka"
3943,Toy Story,1995,8,81.0,96.0,https://www.imdb.com/title/tt0114709/,"Tom Hanks, Tim Allen, Don Rickles"
